,P00,P01,P10,P11
59,0.9996486658116907,0.00035133418830937007,0.02520945367935534,0.9747905463206447
60,0.9996484842209746,0.0003515157790254253,0.02509116594332383,0.9749088340566762
61,0.9996482925981897,0.0003517074018103704,0.024975375681764524,0.9750246243182356
62,0.9996335335046852,0.000366466495314835,0.026492116126091085,0.973507883873909
63,0.9996334413007055,0.00036655869929444934,0.026371090416460588,0.9736289095835394
64,0.9996333155263801,0.0003666844736198362,0.026255957134575722,0.9737440428654244
65,0.999633158673233,0.0003668413267669689,0.026146483189374566,0.9738535168106254
66,0.9996329713758932,0.0003670286241067084,0.026042783956937404,0.9739572160430626
67,0.9996327548007969,0.0003672451992031598,0.025944918303780123,0.9740550816962199
68,0.999632509783719,0.00036749021628102466,0.025853028246321467,0.9741469717536785
69,0.9996322398773191,0.00036776012268087193,0.02576683951521694,0.974233160484783
70,0.9996319458681961,0.0003680541318038032,0.02568662017352073,0.9743133798264793
71,0.9996316301315715,0.0003683698684284679,0.0256124222635926,0.9743875777364074
72,0.9996312963175058,0.000368703682494269,0.02554414590116489,0.9744558540988351
73,0.9996309466049463,0.0003690533950537033,0.025482078267866626,0.9745179217321334
74,0.999630586884095,0.00036941311590496745,0.025425896996266656,0.9745741030037334
75,0.9996302207884342,0.00036977921156578907,0.025375861196487444,0.9746241388035125
76,0.9996298558865179,0.00037014411348215926,0.025331548318256732,0.9746684516817432
77,0.9996294985085007,0.0003705014914993915,0.025293005995826134,0.9747069940041739
78,0.9996291574513521,0.00037084254864798476,0.025259869422362264,0.9747401305776376
79,0.9996288416937089,0.00037115830629111493,0.025232040578846877,0.974767959421153
80,0.9996285500899543,0.00037144991004564094,0.025212807390936964,0.974787192609063
81,0.9996283120180204,0.0003716879819796599,0.02519743895303881,0.9748025610469612
82,0.9996281421411335,0.0003718578588664237,0.02518488797139454,0.9748151120286055
83,0.9996286215964196,0.0003713784035803674,0.024936641959096725,0.9750633580409033
84,0.9996291196026447,0.0003708803973552893,0.024693250380830575,0.9753067496191693
85,0.9996255591417378,0.00037444085826219864,0.02733651658790993,0.9726634834120901
86,0.9996235775757683,0.00037642242423175455,0.03041478654645666,0.9695852134535433
87,0.9996234474307553,0.0003765525692447173,0.030683255120275314,0.9693167448797246
88,0.9996128884148572,0.00038711158514288644,0.025498910295107716,0.9745010897048924
89,0.9996136901830794,0.000386309816920539,0.025238836191851435,0.9747611638081486
90,0.9996144989965479,0.00038550100345209696,0.024984152210854246,0.9750158477891456
91,0.9996153121323229,0.00038468786767715,0.02473489590561991,0.9752651040943802
92,0.9996161264802504,0.0003838735197495094,0.024491224909098015,0.9755087750909021
93,0.9996169399067453,0.00038306009325461503,0.02425302485911874,0.9757469751408813
94,0.9996177516623215,0.0003822483376785577,0.02401996324627012,0.9759800367537298
95,0.9996185570788371,0.000381442921162955,0.023792565468158538,0.9762074345318414
96,0.9996193606143795,0.0003806393856205801,0.023569495598813005,0.976430504401187
97,0.9996201520190731,0.0003798479809269193,0.023352434330375035,0.976647565669625
98,0.9996209372181962,0.0003790627818037523,0.023139857473488925,0.9768601425265111
99,0.999621710079564,0.00037828992043601064,0.02293259301761177,0.9770674069823881
100,0.9996224701788522,0.0003775298211478155,0.02273038853875726,0.9772696114612428
101,0.9996232188414558,0.0003767811585443288,0.02253274433199339,0.9774672556680066
102,0.9996239523313538,0.0003760476686461344,0.022340031814947994,0.977659968185052
103,0.9996246737679935,0.0003753262320066239,0.022151530937739042,0.977848469062261
