Dates,P01,P10,P00,P11
09/01/2018 13:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 13:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 13:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 13:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 13:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 13:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 13:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 14:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 14:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 14:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 14:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 14:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 14:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 14:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 14:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 14:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 14:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 14:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 14:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 15:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 15:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 15:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 15:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 15:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 15:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 15:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 15:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 15:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 15:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 15:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 15:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 16:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 16:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 16:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 16:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 16:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 16:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 16:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 16:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 16:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 16:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 16:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 16:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 17:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 17:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 17:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 17:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 17:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 17:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 17:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 17:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 17:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 17:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 17:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 17:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 18:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 18:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 18:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 18:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 18:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 18:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 18:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 18:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
