,0,1,2,3,4
ask_spd_USDEUR_2_P03,[8.97939273],4.360648717990735e-06,-0.011825176489308881,-0.011310897769945687,"[[   0  494  165]
 [   0 3691 1084]
 [   0  449  155]]"
ask_spd_USDGBP_2_P00,[2.05013418],-1.5493931701565273e-05,-0.01974156508703628,-0.016922940487007057,"[[   0  610   80]
 [   0 3401 1333]
 [   0  560   54]]"
ask_spd_USDGBP_2_P01,[2.26871888],-2.2419609539614373e-05,-0.018087913506304117,-0.015736574529096537,"[[   0  458  232]
 [   0 3578 1156]
 [   0  355  259]]"
ask_spd_USDGBP_2_P02,[1.73172648],-1.8459255013133173e-05,-0.018538958213713572,-0.015372168109294935,"[[   0  504  186]
 [   0 3846  888]
 [   0  382  232]]"
ask_spd_USDGBP_2_P03,[2.65083133],-1.9686270996948885e-05,-0.019201421612161113,-0.0171351948145721,"[[   0  562  128]
 [   0 3130 1604]
 [   0  532   82]]"
ask_spd_USDJPY_3_P00,[0.],0.0,-inf,0.013778834511609878,"[[   0  637   56]
 [   0 4427  254]
 [   0  621   43]]"
ask_spd_USDJPY_3_P01,[0.],0.0,-inf,0.013778834511609878,"[[   0  553  140]
 [   0 3661 1020]
 [   0  531  133]]"
ask_spd_USDJPY_3_P02,[0.],0.0,-inf,0.013778834511609878,"[[   0  670   23]
 [   0 4402  279]
 [   0  626   38]]"
ask_spd_USDJPY_3_P03,[0.],0.0,-inf,0.013778834511609878,"[[   0  549  144]
 [   0 3897  784]
 [   0  553  111]]"
ask_spd_USDJPY_3_P04,[0.],0.0,-inf,0.013778834511609878,"[[   0  511  182]
 [   0 3555 1126]
 [   0  501  163]]"
ask_spd_USDJPY_3_P05,[0.],0.0,-inf,0.013778834511609878,"[[   0  676   17]
 [   0 4448  233]
 [   0  637   27]]"
ask_spd_USDJPY_3_P06,[0.],0.0,-inf,0.013778834511609878,"[[   0  555  138]
 [   0 3788  893]
 [   0  534  130]]"
ask_spd_USDJPY_3_P07,[0.],0.0,-inf,0.013778834511609878,"[[   0  551  142]
 [   0 3910  771]
 [   0  539  125]]"
ask_spd_USDJPY_3_P08,[0.],0.0,-inf,0.013778834511609878,"[[   0  664   29]
 [   0 4308  373]
 [   0  642   22]]"
